index,page,name,category,image,price,rating,rating_count,delivery,is_best_seller,is_overall_pick
30,2,"Alesis Nitro Max Kit Electric Drum Set with Quiet Mesh Pads, 10"" Dual Zone Snare, Bluetooth, 440+ Authentic Sounds, Drumeo, USB MIDI, Kick Pedal",electronics,https://m.media-amazon.com/images/I/718sd3kMp+L._AC_UY218_.jpg,$399.00,4.4,791,"Delivery Tue, Dec 17",0,0
31,2,"WALKER'S Razor Walkie Talkie Attachment - 22 Channels 3 Miles Range Distance Voice-Activated Handsfree Communication Device for Razor Shooting Muffs, 3 AAA Batteries Included",electronics,https://m.media-amazon.com/images/I/613EJUOdUDL._AC_UY218_.jpg,$21.61,4.6,4636,"Delivery Tue, Dec 17 to Palestinian Territories",0,0
32,2,Meta Quest 3 128GB— Breakthrough Mixed Reality Headset — Powerful Performance,electronics,https://m.media-amazon.com/images/I/61mpOk4jguL._AC_UY218_.jpg,"Oct 10, 2023 | by Meta",4.5,6308,,0,0
33,2,"Electronic Drum Set - YUOIOYU Electric Drum Set Roll Up Potable Drum Kit MIDI Practice Drum Pad with Dual Built-in Speaker, Drum Sticks and Pedals,Christmas Birthday Gift for Kids Adult Color-1",electronics,https://m.media-amazon.com/images/I/71pVvZssYVL._AC_UY218_.jpg,$59.99,4.2,533,"Delivery Tue, Dec 17",0,0
34,2,"XXXL Electronic Component Assortment Box Kit, 5228 pcs, Capacitors, Transistors, Potentiometers, Diodes, ICs, Inductors, Regulators, Mosfets, Trim Pots, LEDs, PCB, Photoresistors, Terminals, Resistors",electronics,https://m.media-amazon.com/images/I/712phWIBmEL._AC_UY218_.jpg,$189.90,4.7,102,"FREE delivery Thu, Dec 12 to Palestinian Territories",0,0
35,2,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, Black",electronics,https://m.media-amazon.com/images/I/51kRDDGhgQL._AC_UY218_.jpg,$39.94,4.6,,"Delivery Tue, Dec 17",0,0
36,2,"Donner DED-80 Electronic Drum Set with 4 Quiet Mesh Pads, 180+ Sounds, 2 Pedals, Throne, Headphones, Sticks, and Melodics Lessons",electronics,https://m.media-amazon.com/images/I/714yvRzAegL._AC_UY218_.jpg,$215.99,4.5,967,"Delivery Tue, Dec 17",0,0
37,2,"Belifu Dual Channel TENS EMS Unit 24 Modes Muscle Stimulator for Pain Relief Therapy, Electronic Pulse Massager Muscle Massager with 10 Pads, Dust-Proof Drawstring Storage Bag, Fastening Cable Ties",electronics,https://m.media-amazon.com/images/I/71i+nWHnBjS._AC_UY218_.jpg,$26.39,4.5,,"Delivery Tue, Dec 17",0,0
38,2,Snap Circuits Classic SC-300 Electronics Exploration Kit | Over 300 Projects | Full Color Manual Parts | STEM Educational Toy for Kids 8+ 2.3 x 13.6 x 19.3 inches,electronics,https://m.media-amazon.com/images/I/91Hgl5CqLdL._AC_UY218_.jpg,$48.99,4.8,27373,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
39,2,"Understanding Basic Electronics – A Step-by-Step Guide to Electricity, Electronics, and Simple Circuits",electronics,https://m.media-amazon.com/images/I/61v03nxFXKL._AC_UY218_.jpg,$29.95,4.6,519,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
